name,iata_code
Dubuque Regional Airport,DBQ
Dubrovnik Airport,DBV
Ronald Reagan Washington National Airport,DCA
Canefield Airport,DCF
Decimomannu Air Base,DCI
Castres-Mazamet Airport,DCM
RAAF Base Curtin,DCN
Duncan Town Airport,DCT
Daocheng Yading Airport,DCY
Dodge City Regional Airport,DDC
Dandong Airport,DDG
Dera Ghazi Khan Airport,DEA
Debrecen International Airport,DEB
Decatur Airport,DEC
Dehradun Airport,DED
Indira Gandhi International Airport,DEL
Denver International Airport,DEN
Coleman A. Young Municipal Airport,DET
Deir ez-Zor Air Base,DEZ
Dallas Fort Worth International Airport,DFW
Dangriga Airport,DGA
Mudgee Airport,DGE
General Guadalupe Victoria International Airport,DGO
Daugavpils Intrenational Airport,DGP
Sibulan Airport,DGT
King Abdulaziz Air Base,DHA
Al Dhafra Air Base,DHF
Kangra Airport,DHM
Dothan Regional Airport,DHN
De Kooy Airport,DHR
Dalhart Municipal Airport,DHT
Doha International Airport,DIA
Dibrugarh Airport,DIB
Arrachart Airport,DIE
Diqing Airport,DIG
Dijon-Bourgogne Airport,DIJ
Dickinson Theodore Roosevelt Regional Airport,DIK
Presidente Nicolau Lobato International Airport,DIL
Dien Bien Phu Airport,DIN
Aba Tenna Dejazmach Yilma International Airport,DIR
Ngot Nzoungou Airport,DIS
Diyarbakir Airport,DIY
Djerba Zarzis International Airport,DJE
Djanet Inedbirene Airport,DJG
Sentani International Airport,DJJ
Daloa Airport,DJO
LÃ©opold SÃ©dar Senghor International Airport,DKR
Dikson Airport,DKS
Douala International Airport,DLA
Zhoushuizi Airport,DLC
Dole-Tavaux Airport,DLE
DLF Airport,DLF
Dillingham Airport,DLG
Duluth International Airport,DLH
Lien Khuong Airport,DLI
Dalaman International Airport,DLM
Columbia Gorge Regional the Dalles Municipal Airport,DLS
Dali Airport,DLU
Dalanzadgad Airport,DLZ
Davis Monthan Air Force Base,DMA
Taraz Airport,DMB
Domodedovo International Airport,DME
Don Mueang International Airport,DMK
King Fahd International Airport,DMM
Deming Municipal Airport,DMN
Dimapur Airport,DMU
Kadena Air Base,DNA
Dundee Airport,DND
Dunhuang Airport,DNH
Dnipropetrovsk International Airport,DNK
Daniel Field,DNL
Deniliquin Airport,DNQ
Dinard-Pleurtuit-Saint-Malo Airport,DNR
Ãardak Airport,DNZ
Dodoma Airport,DOD
Dongola Airport,DOG
Hamad International Airport,DOH
Deauville-Saint-Gatien Airport,DOL
Douglas-Charles Airport,DOM
Dover Air Force Base,DOV
Dongying Shengli Airport,DOY
Dupage Airport,DPA
Dipolog Airport,DPL
Devonport Airport,DPO
Ngurah Rai (Bali) International Airport,DPS
Duqm International Airport,DQM
Desert Rock Airport,DRA
Derby Airport,DRB
Deering Airport,DRG
Beauregard Regional Airport,DRI
Dirranbandi Airport,DRN
Dresden Airport,DRS
Del Rio International Airport,DRT
Darwin International Airport,DRW
Robin Hood Doncaster Sheffield Airport,DSA
Dera Ismael Khan Airport,DSK
Des Moines International Airport,DSM
Ordos Ejin Horo Airport,DSN
Sondok Airport,DSO
Blaise Diagne International Airport,DSS
Daet Airport,DTE
Dortmund Airport,DTM
Wudalianchi Dedu Airport,DTU
Detroit Metropolitan Wayne County Airport,DTW
Dublin Airport,DUB
Dunedin Airport,DUD
Dundo Airport,DUE
Bisbee Douglas International Airport,DUG
DuBois Regional Airport,DUJ
Pinang Kampai Airport,DUM
King Shaka International Airport,DUR
DÃ¼sseldorf Airport,DUS
Unalaska Airport,DUT
Francisco Bangoy International Airport,DVO
Dwangwa Airport,DWA
Al Maktoum International Airport,DWC
King Salman Abdulaziz Airport,DWD
Dubai International Airport,DXB
Dysart Airport,DYA
Ugolny Airport,DYR
Dyess Air Force Base,DYS
Dushanbe Airport,DYU
Dzaoudzi Pamandzi International Airport,DZA
Zhezkazgan Airport,DZN
Santa Bernardina International Airport,DZO
Nejran Airport,EAM
San Sebastian Airport,EAS
Pangborn Memorial Airport,EAT
Chippewa Valley Regional Airport,EAU
Marina Di Campo Airport,EBA
Entebbe International Airport,EBB
El Obeid Airport,EBD
El Bagre Airport,EBG
Esbjerg Airport,EBJ
Erbil International Airport,EBL
El Borma Airport,EBM
Saint-Ãtienne-BouthÃ©on Airport,EBU
Elizabeth City Regional Airport & Coast Guard Air Station,ECG
Echuca Airport,ECH
Ercan International Airport,ECN
Northwest Florida Beaches International Airport,ECP
Cuatro Vientos Airport,ECV
Elmendorf Air Force Base,EDF
Edinburgh Airport,EDI
Eldoret International Airport,EDL
La Roche-sur-Yon Airport,EDM
BalÄ±kesir KÃ¶rfez Airport,EDO
Edwards Air Force Base,EDW
Needles Airport,EED
Dillant Hopkins Airport,EEN
Ellington Airport,EFD
Kefallinia Airport,EFL
Bergerac-RoumaniÃ¨re Airport,EGC
Eagle County Regional Airport,EGE
El Gora Airport,EGH
Duke Field,EGI
Belgorod International Airport,EGO
EgilsstaÃ°ir Airport,EGS
Egegik Airport,EGX
El Bolson Airport,EHL
Cape Newenham LRRS Airport,EHM
Eisenach-Kindel Airport,EIB
Yeniseysk Airport,EIE
Yeysk Airport,EIK
Eielson Air Force Base,EIL
Eindhoven Airport,EIN
Terrance B. Lettsome International Airport,EIS
YariguÃ­es Airport,EJA
Al Wajh Domestic Airport,EJH
Murray Field,EKA
Ekibastuz Airport,EKB
Elkins-Randolph Co-Jennings Randolph Field,EKN
Elko Regional Airport,EKO
Eskilstuna Airport,EKT
Las Flores Airport,ELB
Elcho Island Airport,ELC
South Arkansas Regional At Goodwin Field,ELD
El Fasher Airport,ELF
El Golea Airport,ELG
North Eleuthera Airport,ELH
Elmira Corning Regional Airport,ELM
El Paso International Airport,ELP
Gassim Airport,ELQ
Ben Schoeman Airport,ELS
Guemar Airport,ELU
Ely Airport Yelland Field,ELY
East Midlands Airport,EMA
Emerald Airport,EMD
Emmonak Airport,EMK
Emmen Air Base,EML
Kenai Municipal Airport,ENA
Nancy-Essey Airport,ENC
Vance Air Force Base,END
Enontekio Airport,ENF
St Angelo Airport,ENK
Nenana Municipal Airport,ENN
Twente Airport,ENS
Akanu Ibiam International Airport,ENU
Wendover Airport,ENV
Kenosha Regional Airport,ENW
Enrique Olaya Herrera Airport,EOH
Eday Airport,EOI
El Dorado Airport,EOR
Elorza Airport,EOZ
El Palomar Airport,EPA
Ãpinal-Mirecourt Airport,EPL
Esperance Airport,EPR
PÃ¤rnu Airport,EPU
Brigadier Antonio Parodi Airport,EQS
Erzincan Airport,ERC
Erfurt Airport,ERF
Moulay Ali Cherif Airport,ERH
Erie International Tom Ridge Field,ERI
Erenhot Saiwusu International Airport,ERL
Eros Airport,ERS
Erzurum International Airport,ERZ
EsenboÄa International Airport,ESB
Esler Regional Airport,ESF
Dr. Luis Maria ArgaÃ±a International Airport,ESG
Shoreham Airport,ESH
EskiÅehir Air Base,ESK
Elista Airport,ESL
Ricardo GarcÃ­a Posada Airport,ESR
Ramon Airport,ETM
Santa Rosa International Airport,ETR
Metz-Nancy-Lorraine Airport,ETZ
Mahlon Sweet Field,EUG
Hassan I Airport,EUN
Evelio Javier Airport,EUQ
F. D. Roosevelt Airport,EUX
"Harstad/Narvik Airport, Evenes",EVE
Sveg Airport,EVG
Zvartnots International Airport,EVN
Evansville Regional Airport,EVV
Evanston-Uinta County Airport-Burns Field,EVW
Ãvreux-Fauville (BA 105) Air Base,EVX
New Bedford Regional Airport,EWB
Coastal Carolina Regional Airport,EWN
Newark Liberty International Airport,EWR
Exeter International Airport,EXT
Beloyarskiy Airport,EYK
El Yopal Airport,EYP
Key West International Airport,EYW
Ministro Pistarini International Airport,EZE
ElazÄ±Ä Airport,EZS
Berezovo Airport,EZV
Farnborough Airport,FAB
Vagar Airport,FAE
Felker Army Air Field,FAF
Fairbanks International Airport,FAI
Diego Jimenez Torres Airport,FAJ
Faro Airport,FAO
Hector International Airport,FAR
Fresno Yosemite International Airport,FAT
Fakarava Airport,FAV
Fayetteville Regional Grannis Field,FAY
Fasa Airport,FAZ
Simmons Army Air Field,FBG
Ladd AAF Airfield,FBK
Lubumbashi International Airport,FBM
Glacier Park International Airport,FCA
Ficksburg Sentraoes Airport,FCB
Nordholz Naval Airbase,FCN
Leonardo da VinciâFiumicino Airport,FCO
Butts AAF (Fort Carson) Air Field,FCS
Martinique AimÃ© CÃ©saire International Airport,FDF
Friedrichshafen Airport,FDH
San Fernando Airport,FDO
Bandundu Airport,FDU
Findlay Airport,FDY
Fernando de Noronha Airport,FEN
SaÃ¯ss Airport,FEZ
RAF Fairford,FFD
Wright-Patterson Air Force Base,FFO
Fangatau Airport,FGU
Sierra Vista Municipal Airport / Libby Army Air Field,FHU
Fair Isle Airport,FIE
Ndjili International Airport,FIH
Fitzroy Crossing Airport,FIZ
Fujairah International Airport,FJR
Karlsruhe Baden-Baden Airport,FKB
Bangoka International Airport,FKI
Fukui Airport,FKJ
Venango Regional Airport,FKL
Fakfak Airport,FKQ
Fukushima Airport,FKS
Gustavo Artunduaga Paredes Airport,FLA
Flagstaff Pulliam Airport,FLG
Fort Lauderdale Hollywood International Airport,FLL
HercÃ­lio Luz International Airport,FLN
Florence Regional Airport,FLO
Peretola Airport,FLR
Flores Airport,FLW
Formosa Airport,FMA
Tipton Airport,FME
Kalemie Airport,FMI
Memmingen Allgau Airport,FMM
Four Corners Regional Airport,FMN
MÃ¼nster OsnabrÃ¼ck Airport,FMO
Page Field,FMY
Lungi International Airport,FNA
Neubrandenburg Airport,FNB
Madeira Airport,FNC
NÃ®mes-Arles-Camargue Airport,FNI
Pyongyang Sunan International Airport,FNJ
Bishop International Airport,FNT
Fuzhou Changle International Airport,FOC
Fort Dodge Regional Airport,FOD
Topeka Regional Airport - Forbes Field,FOE
"Foggia ""Gino Lisa"" Airport",FOG
Foumban Nkounja Airport,FOM
Pinto Martins International Airport,FOR
Forrest Airport,FOS
Grand Bahama International Airport,FPO
St Lucie County International Airport,FPR
Frankfurt am Main Airport,FRA
Forbes Airport,FRB
Republic Airport,FRG
Marshall Army Air Field,FRI
ForlÃ¬ Airport,FRL
FlorÃ¸ Airport,FRO
Mundo Maya International Airport,FRS
Manas International Airport,FRU
Francistown Airport,FRW
Fritzlar Army Airfield,FRZ
Figari Sud-Corse Airport,FSC
Joe Foss Field Airport,FSD
Henry Post Army Air Field (Fort Sill),FSI
Fort Smith Regional Airport,FSM
St Pierre Airport,FSP
RAF Kinloss,FSS
Fort Stockton Pecos County Airport,FST
Mt. Fuji Shizuoka Airport,FSZ
El Calafate Airport,FTE
Fitiuta Airport,FTI
Godman Army Air Field,FTK
TÃ´lanaro Airport,FTU
Fort Worth Meacham International Airport,FTW
Owando Airport,FTX
Fulton County Airport Brown Field,FTY
Fuerteventura Airport,FUE
Fuyang Xiguan Airport,FUG
Fukue Airport,FUJ
Fukuoka Airport,FUK
Funafuti International Airport,FUN
Foshan Shadi Airport,FUO
Pointe Vele Airport,FUT
Fort Wayne International Airport,FWA
NAS Fort Worth JRB/Carswell Field,FWH
Fort Lauderdale Executive Airport,FXE
Dongji Aiport,FYJ
Fuyun Koktokay Airport,FYN
Faya Largeau Airport,FYT
Fort Yukon Airport,FYU
Drake Field,FYV
GabÃ¨s Matmata International Airport,GAE
Gafsa Ksar International Airport,GAF
Yamagata Airport,GAJ
Edward G. Pitka Sr Airport,GAL
Gambell Airport,GAM
Gan International Airport,GAN
Mariana Grajales Airport,GAO
Gao Airport,GAQ
Lokpriya Gopinath Bordoloi International Airport,GAU
Gaya Airport,GAY
Gabala International Airport,GBB
Sir Seretse Khama International Airport,GBE
Les Bases Airport,GBJ
Gorgan Airport,GBT
Gillette Campbell County Airport,GCC
Gachsaran Airport,GCH
Guernsey Airport,GCI
Grand Central Airport,GCJ
Garden City Regional Airport,GCK
Owen Roberts International Airport,GCM
Grand Canyon National Park Airport,GCN
Gode Airport,GDE
Don Miguel Hidalgo Y Costilla International Airport,GDL
GdaÅsk Lech WaÅÄsa Airport,GDN
Guasdalito Airport,GDO
Gonder Airport,GDQ
JAGS McCartney International Airport,GDT
Dawson Community Airport,GDV
Sokol Airport,GDX
Gelendzhik Airport,GDZ
NoumÃ©a Magenta Airport,GEA
Lefkoniko Airport,GEC
Spokane International Airport,GEG
Santo Ãngelo Airport,GEL
Cheddi Jagan International Airport,GEO
Rafael Cabrera Airport,GER
General Santos International Airport,GES
Geraldton Airport,GET
GÃ¤llivare Airport,GEV
Griffith Airport,GFF
Grand Forks International Airport,GFK
Floyd Bennett Memorial Airport,GFL
Grafton Airport,GFN
Granville Airport,GFR
Grootfontein Airport,GFY
East Texas Regional Airport,GGG
Exuma International Airport,GGT
Wokal Field/Glasgow-Valley County Airport,GGW
NoumÃ©rat - Moufdi Zakaria Airport,GHA
Governor's Harbour Airport,GHB
Great Harbour Cay Airport,GHC
Ghat Airport,GHT
Gualeguaychu Airport,GHU
Gibraltar Airport,GIB
Rio GaleÃ£o â Tom Jobim International Airport,GIG
Gilgit Airport,GIL
Santiago Vila Airport,GIR
Gisborne Airport,GIS
Jizan Regional Airport,GIZ
La Laguna Airport,GJA
Jijel Ferhat Abbas Airport,GJL
GuajarÃ¡-Mirim Airport,GJM
Grand Junction Regional Airport,GJT
Goroka Airport,GKA
Geilenkirchen Air Base,GKE
Gulkana Airport,GKN
Glasgow International Airport,GLA
Renner Field-Goodland Municipal Airport,GLD
Golfito Airport,GLF
Mid Delta Regional Airport,GLH
Glen Innes Airport,GLI
Gloucestershire Airport,GLO
Scholes International At Galveston Airport,GLS
Gladstone Airport,GLT
Gelephu Airport,GLU
Gilze Rijen Air Base,GLZ
Gemena Airport,GMA
Gambella Airport,GMB
Gomel Airport,GME
Gostomel Airport,GML
Gombe Lawanti International Airport,GMO
Gimpo International Airport,GMP
Golog Maqin Airport,GMQ
Totegegie Airport,GMR
Greenville Downtown Airport,GMU
Hrodna Airport,GNA
Grenoble-IsÃ¨re Airport,GNB
Point Salines International Airport,GND
Binaka Airport,GNS
Gainesville Regional Airport,GNV
ÅanlÄ±urfa GAP Airport,GNY
Genoa Cristoforo Colombo Airport,GOA
Godthaab / Nuuk Airport,GOH
Dabolim Airport,GOI
Nizhny Novgorod Strigino International Airport,GOJ
Goma International Airport,GOM
Groton New London Airport,GON
Gorakhpur Airport,GOP
Golmud Airport,GOQ
Gothenburg-Landvetter Airport,GOT
Garoua International Airport,GOU
Gove Airport,GOV
Gorna Oryahovitsa Airport,GOZ
Araxos Airport,GPA
Juan Casiano Airport,GPI
Guapiles Airport,GPL
Garden Point Airport,GPN
General Pico Airport,GPO
Gulfport Biloxi International Airport,GPT
Austin Straubel International Airport,GRB
Gray Army Air Field,GRF
Central Nebraska Regional Airport,GRI
George Airport,GRJ
Robert Gray  Army Air Field Airport,GRK
Girona Airport,GRO
Eelde Airport,GRQ
Gerald R. Ford International Airport,GRR
Grosseto Air Base,GRS
Guarulhos - Governador AndrÃ© Franco Montoro International Airport,GRU
Grozny North Airport,GRV
Graciosa Airport,GRW
Federico Garcia Lorca Airport,GRX
Graz Airport,GRZ
Seymour Johnson Air Force Base,GSB
Gothenburg City Airport,GSE
San JosÃ© Airport,GSJ
Piedmont Triad International Airport,GSO
Greenville Spartanburg International Airport,GSP
Gustavus Airport,GST
Groote Eylandt Airport,GTE
Great Falls International Airport,GTF
Glentanner Airport,GTN
Golden Triangle Regional Airport,GTR
La Aurora Airport,GUA
Gunnedah Airport,GUH
Guiria Airport,GUI
GuaratinguetÃ¡ Airport,GUJ
Goulburn Airport,GUL
Antonio B. Won Pat International Airport,GUM
Gallup Municipal Airport,GUP
Guanare Airport,GUQ
Gurney Airport,GUR
Grissom Air Reserve Base,GUS
Atyrau Airport,GUW
Guymon Municipal Airport,GUY
Geneva Cointrin International Airport,GVA
Maygatka Airport.,GVN
GÃ¤vle Sandviken Airport,GVX
Gwadar International Airport,GWD
Thornhill Air Base,GWE
Gwalior Airport,GWL
GreenwoodâLeflore Airport,GWO
Westerland Sylt Airport,GWT
Galway Airport,GWY
Sayun International Airport,GXF
Negage Airport,GXG
Gannan Xiahe Airport,GXH
Teniente Vidal Airport,GXQ
Heydar Aliyev International Airport,GYD
JosÃ© JoaquÃ­n de Olmedo International Airport,GYE
Magan Airport,GYG
Gisenyi Airport,GYI
General JosÃ© MarÃ­a YÃ¡Ã±ez International Airport,GYM
Santa Genoveva Airport,GYN
Guangyuan Airport,GYS
Guyuan Liupanshan Airport,GYU
Gary Chicago International Airport,GYY
GazipaÅa Airport,GZP
Gaziantep International Airport,GZT
Qazvin Airport,GZW
Hachijojima Airport,HAC
Halmstad Airport,HAD
Prince Said Ibrahim International Airport,HAH
Hannover Airport,HAJ
Haikou Meilan International Airport,HAK
Hamburg Airport,HAM
Noi Bai International Airport,HAN
Hanimaadhoo Airport,HAQ
Ha'il Airport,HAS
Haugesund Airport,HAU
JosÃ© MartÃ­ International Airport,HAV
Haverfordwest Airport,HAW
Hobart International Airport,HBA
Borg El Arab International Airport,HBE
Hattiesburg Bobby L Chain Municipal Airport,HBG
Qilian Airport,HBQ
Hobart Regional Airport,HBR
Hubli Airport,HBX
Hechi Jinchengjiang Airport,HCJ
Hengchun Airport,HCN
Halls Creek Airport,HCQ
Holy Cross Airport,HCR
Heringsdorf Airport,HDF
Handan Airport,HDG
Dillingham Airfield,HDH
Hamadan Airport,HDM
Hat Yai International Airport,HDY
Herat Airport,HEA
Heho Airport,HEH
Heihe Airport,HEK
Helsinki Vantaa Airport,HEL
Helsinki Malmi Airport,HEM
Heraklion International Nikos Kazantzakis Airport,HER
Baita International Airport,HET
Haifa International Airport,HFA
Hartford Brainard Airport,HFD
Hefei Luogang International Airport,HFE
HornafjÃ¶rÃ°ur Airport,HFN
Hagfors Airport,HFS
Hammerfest Airport,HFT
Egal International Airport,HGA
Hangzhou Xiaoshan International Airport,HGH
"Paloich Airport, Heliport",HGI
Mae Hong Son Airport,HGN
Korhogo Airport,HGO
Hagerstown Regional Richard A Henson Field,HGR
Mount Hagen Kagamuga Airport,HGU
Hachinohe Airport,HHE
Wheeler Army Airfield,HHI
Frankfurt-Hahn Airport,HHN
Hua Hin Airport,HHQ
Jack Northrop Field Hawthorne Municipal Airport,HHR
Lianshui Airport,HIA
Range Regional Airport,HIB
Horn Island Airport,HID
Hill Air Force Base,HIF
Hiroshima Airport,HIJ
Hingurakgoda Air Force Base,HIM
Sacheon Air Base/Airport,HIN
Portland Hillsboro Airport,HIO
Honiara International Airport,HIR
Zhijiang Airport,HJJ
Khajuraho Airport,HJR
Hakodate Airport,HKD
Hong Kong International Airport,HKG
Hokitika Airfield,HKK
Kimbe Airport,HKN
Phuket International Airport,HKT
Hickory Regional Airport,HKY
Lanseria Airport,HLA
Hulunbuir Hailar Airport,HLD
Wheeling Ohio County Airport,HLG
Helena Regional Airport,HLN
Halim Perdanakusuma International Airport,HLP
Hood Army Air Field,HLR
Hamilton Airport,HLT
Hamilton International Airport,HLZ
Khanty Mansiysk Airport,HMA
Sohag International Airport,HMB
Oued Irara Airport,HME
Hami Airport,HMI
Khmelnytskyi Airport,HMJ
Holloman Air Force Base,HMN
General Ignacio P. Garcia International Airport,HMO
Hemavan Airport,HMV
Hanamaki Airport,HNA
Tokyo Haneda International Airport,HND
Daniel K Inouye International Airport,HNL
Hana Airport,HNM
Haines Airport,HNS
Lea County Regional Airport,HOB
Hodeidah International Airport,HOD
Al Ahsa Airport,HOF
Frank Pais International Airport,HOG
Hao Airport,HOI
Homer Airport,HOM
Huron Regional Airport,HON
Campbell AAF (Fort Campbell) Air Field,HOP
Hof-Plauen Airport,HOQ
Horta Airport,HOR
Memorial Field,HOT
William P Hobby Airport,HOU
"Ãrsta-Volda Airport, Hovden",HOV
Lifuka Island Airport,HPA
Hooper Bay Airport,HPB
Shennongjia Hongping Airport,HPG
Cat Bi International Airport,HPH
Westchester County Airport,HPN
Bowerman Airport,HQM
Taiping Airport,HRB
Robert Gabriel Mugabe International Airport,HRE
Hurghada International Airport,HRG
Mattala Rajapaksa International Airport,HRI
Kharkiv International Airport,HRK
Valley International Airport,HRL
Hassi R'Mel Airport,HRM
Boone County Airport,HRO
Harrismith Airport,HRS
RAF Linton-On-Ouse,HRT
Shaoguan Guitou Airport,HSC
Saga Airport,HSG
Huslia Airport,HSL
Horsham Airport,HSM
Hissar Airport,HSS
Homestead ARB Airport,HST
Huntsville International Carl T Jones Field,HSV
Hsinchu Air Base,HSZ
Chita-Kadala Airport,HTA
Khatanga Airport,HTG
Hamilton Island Airport,HTI
Hotan Airport,HTN
Tri-State/Milton J. Ferguson Field,HTS
Huatugou Airport,HTT
Hopetoun Airport,HTU
Huntsville Regional Airport,HTV
Hatay Airport,HTY
Redstone Army Air Field,HUA
"Terre Haute Regional Airport, Hulman Field",HUF
Huahine-Fare Airport,HUH
Phu Bai Airport,HUI
Houlton International Airport,HUL
Hualien Airport,HUN
Holingol Huolinhe Airport,HUO
Hutchinson Municipal Airport,HUT
Alferez Fap David Figueroa Fernandini Airport,HUU
BahÃ­as de Huatulco International Airport,HUX
Humberside Airport,HUY
Huizhou Airport,HUZ
Analalava Airport,HVA
Hervey Bay Airport,HVB
Khovd Airport,HVD
Valan Airport,HVG
Tweed New Haven Airport,HVN
Havre City County Airport,HVR
Hwange National Park Airport,HWN
Hay Airport,HXX
Barnstable Municipal Boardman Polando Field,HYA
Rajiv Gandhi International Airport,HYD
Huangyan Luqiao Airport,HYN
Sawyer County Airport,HYR
Hays Regional Airport,HYS
Merville-Calonne Airport,HZB
Liping Airport,HZH
HÃºsavÃ­k Airport,HZK
Igarka Airport,IAA
Mc Connell Air Force Base,IAB
Washington Dulles International Airport,IAD
Niagara Falls International Airport,IAG
George Bush Intercontinental Houston Airport,IAH
In AmÃ©nas Airport,IAM
Bob Baker Memorial Airport,IAN
IaÅi Airport,IAS
Ibadan Airport,IBA
Perales Airport,IBE
Indigo Bay Lodge Airport,IBL
Iberia Airport,IBP
Ibaraki Airport / JASDF Hyakuri Air Base,IBR
Ibiza Airport,IBZ
Incheon International Airport,ICN
Wichita Eisenhower National Airport,ICT
Idaho Falls Regional Airport,IDA
Devi Ahilyabai Holkar Airport,IDR
Ãle d'Yeu Airport,IDY
Zielona GÃ³ra-Babimost Airport,IEG
Ie Jima Airport,IEJ
Kiev Zhuliany International Airport,IEV
ÃsafjÃ¶rÃ°ur Airport,IFJ
Esfahan Shahid Beheshti International Airport,IFN
Ivano-Frankivsk International Airport,IFO
Inagua Airport,IGA
IÄdÄ±r Airport,IGD
ÃiÄli Airport,IGL
Cataratas Del IguazÃº International Airport,IGR
Ingolstadt Manching Airport,IGS
Magas Airport,IGT
Cataratas International Airport,IGU
Iran Shahr Airport,IHR
Ilam Airport,IIL
Izhevsk Airport,IJK
Imam Khomeini International Airport,IKA
Iki Airport,IKI
Greater Kankakee Airport,IKK
Tiksi Airport,IKS
Irkutsk Airport,IKT
Issyk-Kul International Airport,IKU
Lleida-Alguaire Airport,ILD
Ilford Airport,ILF
New Castle Airport,ILG
Iliamna Airport,ILI
Wilmington International Airport,ILM
Wilmington Airpark,ILN
Iloilo International Airport,ILO
Ãle des Pins Airport,ILP
Ilo Airport,ILQ
Ilorin International Airport,ILR
Islay Airport,ILY
Å½ilina Airport,ILZ
Imphal Airport,IMF
Prefeito Renato Moreira Airport,IMP
Inta Airport,INA
Yinchuan Hedong International Airport,INC
Indianapolis International Airport,IND
Inhambane Airport,INH
Nis Airport,INI
Winkler County Airport,INK
Falls International Airport,INL
Innsbruck Airport,INN
Smith Reynolds Airport,INT
Nauru International Airport,INU
Inverness Airport,INV
Winslow Lindbergh Regional Airport,INW
In Salah Airport,INZ
Ioannina Airport,IOA
Isle of Man Airport,IOM
Bahia - Jorge Amado Airport,IOS
Mataveri Airport,IPC
Sultan Azlan Shah Airport,IPH
San Luis Airport,IPI
Imperial County Airport,IPL
Usiminas Airport,IPN
Williamsport Regional Airport,IPT
Al Asad Air Base,IQA
Qiemo Yudu Airport,IQM
Qingyang Airport,IQN
Diego Aracena Airport,IQQ
Coronel FAP Francisco Secada Vignetta International Airport,IQT
Ishurdi Airport,IRD
Lockhart River Airport,IRG
Iringa Airport,IRI
Capitan V A Almonacid Airport,IRJ
Kirksville Regional Airport,IRK
Matari Airport,IRP
Mount Isa Airport,ISA
Islamabad International Airport,ISB
St. Mary's Airport,ISC
SÃ¼leyman Demirel International Airport,ISE
New Ishigaki Airport,ISG
Nashik Airport,ISK
AtatÃ¼rk International Airport,ISL
Kissimmee Gateway Airport,ISM
Sloulin Field International Airport,ISN
Kinston Regional Jetport At Stallings Field,ISO
Long Island Mac Arthur Airport,ISP
Istanbul Airport,IST
Sulaymaniyah International Airport,ISU
Itacoatiara Airport,ITA
Itaituba Airport,ITB
Ithaca Tompkins Regional Airport,ITH
Osaka International Airport,ITM
Hilo International Airport,ITO
Niue International Airport,IUE
Invercargill Airport,IVC
Ivalo Airport,IVL
Inverell Airport,IVR
Ivanovo South Airport,IWA
Iwami Airport,IWJ
Iwakuni Kintaikyo Airport / Marine Corps Air Station Iwakuni,IWK
Iwo Jima Airport,IWO
Agartala Airport,IXA
Bagdogra Airport,IXB
Chandigarh Airport,IXC
Allahabad Airport,IXD
Mangalore International Airport,IXE
Belgaum Airport,IXG
Kailashahar Airport,IXH
North Lakhimpur Airport,IXI
Jammu Airport,IXJ
Keshod Airport,IXK
Leh Kushok Bakula Rimpochee Airport,IXL
Madurai Airport,IXM
Pathankot Airport,IXP
Birsa Munda Airport,IXR
Silchar Airport,IXS
Aurangabad Airport,IXU
Along Airport,IXV
Sonari Airport,IXW
Bidar Air Force Station,IXX
Kandla Airport,IXY
Vir Savarkar International Airport,IXZ
Presidente Itamar Franco Airport,IZA
Zona da Mata Regional Airport,IZA
Izumo En-Musubi Airport,IZO
Ixtepec Airport,IZT
Jalalabad Airport,JAA
Jackson Hole Airport,JAC
Perth Jandakot Airport,JAD
Shumba Airport,JAE
Kankesanturai Airport,JAF
Shahbaz Air Base,JAG
Jaipur International Airport,JAI
Jacmel Airport,JAK
El Lencero Airport,JAL
Bezmer Air Base,JAM
Jackson-Medgar Wiley Evers International Airport,JAN
Francisco Carle Airport,JAU
Jacksonville International Airport,JAX
La Isabela International Airport,JBQ
Jonesboro Municipal Airport,JBR
Jacareacanga Airport,JCR
Kimble County Airport,JCT
Francisco de Assis Airport,JDF
Jeongseok Airport,JDG
Jodhpur Airport,JDH
Jingdezhen Airport,JDZ
King Abdulaziz International Airport,JED
JÃ©rÃ©mie Airport,JEE
Aasiaat Airport,JEG
Jersey Airport,JER
John F Kennedy International Airport,JFK
Jamnagar Airport,JGA
Jiagedaqi Airport,JGD
Jiayuguan Airport,JGN
Jinggangshan Airport,JGS
Senai International Airport,JHB
Xishuangbanna Gasa Airport,JHG
Kapalua Airport,JHM
Sisimiut Airport,JHS
Chautauqua County-Jamestown Airport,JHW
Djibouti-Ambouli Airport,JIB
Wilwal International Airport,JIJ
Jimma Airport,JIM
Qianjiang Wulingshan Airport,JIQ
Comandante Ariston Pessoa Airport,JJD
Juanjui Airport,JJI
Quanzhou Jinjiang International Airport,JJN
JÃ¶nkÃ¶ping Airport,JKG
Chios Island National Airport,JKH
Janakpur Airport,JKR
Joplin Regional Airport,JLN
Jabalpur Airport,JLR
Lancang Jingmai Airport,JMJ
Mikonos Airport,JMK
Jamestown Regional Airport,JMS
Jiamusi Airport,JMU
OR Tambo International Airport,JNB
Jining Qufu Airport,JNG
Juneau International Airport,JNU
Jinzhou Airport,JNZ
Joensuu Airport,JOE
Port St Johns Airport,JOH
Lauro Carneiro de Loyola Airport,JOI
Yoshkar-Ola Airport,JOK
Jolo Airport,JOL
Yakubu Gowon Airport,JOS
Presidente Castro Pinto International Airport,JPA
Kalaeloa Airport,JRF
Jorhat Airport,JRH
